GameTimer,Variable1,Variable2
0,Variable1Value,Variable2Value
0.02,Variable1Value,Variable2Value
0.04,Variable1Value,Variable2Value
0.3733333,Variable1Value,Variable2Value
0.3876833,Variable1Value,Variable2Value
0.3901786,Variable1Value,Variable2Value
0.3917058,Variable1Value,Variable2Value
0.3940488,Variable1Value,Variable2Value
0.3957385,Variable1Value,Variable2Value
0.397251,Variable1Value,Variable2Value
0.3986433,Variable1Value,Variable2Value
0.4000448,Variable1Value,Variable2Value
0.4019652,Variable1Value,Variable2Value
0.4033556,Variable1Value,Variable2Value
0.4047663,Variable1Value,Variable2Value
0.4061728,Variable1Value,Variable2Value
0.4076074,Variable1Value,Variable2Value
0.4102133,Variable1Value,Variable2Value
0.4120698,Variable1Value,Variable2Value
0.413719,Variable1Value,Variable2Value
0.4151778,Variable1Value,Variable2Value
0.4166514,Variable1Value,Variable2Value
0.4183269,Variable1Value,Variable2Value
0.4198581,Variable1Value,Variable2Value
0.4213864,Variable1Value,Variable2Value
0.4227883,Variable1Value,Variable2Value
0.4245838,Variable1Value,Variable2Value
0.4261801,Variable1Value,Variable2Value
0.4277909,Variable1Value,Variable2Value
0.4294298,Variable1Value,Variable2Value
0.4307921,Variable1Value,Variable2Value
0.4322678,Variable1Value,Variable2Value
0.4339066,Variable1Value,Variable2Value
0.4355738,Variable1Value,Variable2Value
0.436926,Variable1Value,Variable2Value
0.4383246,Variable1Value,Variable2Value
0.4397395,Variable1Value,Variable2Value
0.4420487,Variable1Value,Variable2Value
0.4436947,Variable1Value,Variable2Value
0.445153,Variable1Value,Variable2Value
0.4465022,Variable1Value,Variable2Value
0.4478741,Variable1Value,Variable2Value
0.4495543,Variable1Value,Variable2Value
0.4511713,Variable1Value,Variable2Value
0.4526433,Variable1Value,Variable2Value
0.4541372,Variable1Value,Variable2Value
0.4555089,Variable1Value,Variable2Value
0.4575931,Variable1Value,Variable2Value
0.4594173,Variable1Value,Variable2Value
0.4608504,Variable1Value,Variable2Value
0.462346,Variable1Value,Variable2Value
0.4637792,Variable1Value,Variable2Value
0.465647,Variable1Value,Variable2Value
0.4676277,Variable1Value,Variable2Value
0.4690866,Variable1Value,Variable2Value
0.4705999,Variable1Value,Variable2Value
0.4720028,Variable1Value,Variable2Value
0.4738499,Variable1Value,Variable2Value
0.4755557,Variable1Value,Variable2Value
0.4770343,Variable1Value,Variable2Value
0.4787933,Variable1Value,Variable2Value
0.4805585,Variable1Value,Variable2Value
0.4824466,Variable1Value,Variable2Value
0.4842825,Variable1Value,Variable2Value
0.4857861,Variable1Value,Variable2Value
0.4872721,Variable1Value,Variable2Value
0.4888918,Variable1Value,Variable2Value
0.4909903,Variable1Value,Variable2Value
0.4926119,Variable1Value,Variable2Value
0.4942251,Variable1Value,Variable2Value
0.4956619,Variable1Value,Variable2Value
0.4971935,Variable1Value,Variable2Value
0.4989558,Variable1Value,Variable2Value
0.5009896,Variable1Value,Variable2Value
0.5030423,Variable1Value,Variable2Value
0.5045841,Variable1Value,Variable2Value
0.5061461,Variable1Value,Variable2Value
0.5075498,Variable1Value,Variable2Value
0.5092611,Variable1Value,Variable2Value
0.5106593,Variable1Value,Variable2Value
0.5120804,Variable1Value,Variable2Value
0.513614,Variable1Value,Variable2Value
0.5150052,Variable1Value,Variable2Value
0.5167357,Variable1Value,Variable2Value
0.5184101,Variable1Value,Variable2Value
0.5198405,Variable1Value,Variable2Value
0.5218065,Variable1Value,Variable2Value
0.5232588,Variable1Value,Variable2Value
0.5250438,Variable1Value,Variable2Value
0.5265262,Variable1Value,Variable2Value
0.5279056,Variable1Value,Variable2Value
0.5297544,Variable1Value,Variable2Value
0.5311828,Variable1Value,Variable2Value
0.5328566,Variable1Value,Variable2Value
0.5346885,Variable1Value,Variable2Value
0.5361887,Variable1Value,Variable2Value
0.537657,Variable1Value,Variable2Value
0.5390484,Variable1Value,Variable2Value
0.5406955,Variable1Value,Variable2Value
0.5425926,Variable1Value,Variable2Value
0.5440401,Variable1Value,Variable2Value
0.5455542,Variable1Value,Variable2Value
0.5469397,Variable1Value,Variable2Value
0.5485411,Variable1Value,Variable2Value
0.5503547,Variable1Value,Variable2Value
0.5518749,Variable1Value,Variable2Value
0.5536352,Variable1Value,Variable2Value
0.5550582,Variable1Value,Variable2Value
0.5567171,Variable1Value,Variable2Value
0.5585041,Variable1Value,Variable2Value
0.5599988,Variable1Value,Variable2Value
0.5615185,Variable1Value,Variable2Value
0.5628941,Variable1Value,Variable2Value
0.5643161,Variable1Value,Variable2Value
0.5661428,Variable1Value,Variable2Value
0.5676438,Variable1Value,Variable2Value
0.5695824,Variable1Value,Variable2Value
0.5710501,Variable1Value,Variable2Value
0.5727403,Variable1Value,Variable2Value
0.5743084,Variable1Value,Variable2Value
0.5758219,Variable1Value,Variable2Value
0.5776102,Variable1Value,Variable2Value
0.579022,Variable1Value,Variable2Value
0.5809434,Variable1Value,Variable2Value
0.5825895,Variable1Value,Variable2Value
0.5841701,Variable1Value,Variable2Value
0.5865157,Variable1Value,Variable2Value
0.5880042,Variable1Value,Variable2Value
0.5894367,Variable1Value,Variable2Value
0.5910504,Variable1Value,Variable2Value
0.5925733,Variable1Value,Variable2Value
0.5945217,Variable1Value,Variable2Value
0.5961861,Variable1Value,Variable2Value
0.5978092,Variable1Value,Variable2Value
0.5994198,Variable1Value,Variable2Value
0.6009732,Variable1Value,Variable2Value
0.6028973,Variable1Value,Variable2Value
0.6043497,Variable1Value,Variable2Value
0.6057404,Variable1Value,Variable2Value
0.6071687,Variable1Value,Variable2Value
0.6085966,Variable1Value,Variable2Value
0.6120999,Variable1Value,Variable2Value
0.6137398,Variable1Value,Variable2Value
0.6151527,Variable1Value,Variable2Value
0.6168656,Variable1Value,Variable2Value
0.618971,Variable1Value,Variable2Value
0.6204792,Variable1Value,Variable2Value
0.6218865,Variable1Value,Variable2Value
0.6232522,Variable1Value,Variable2Value
0.6250354,Variable1Value,Variable2Value
0.6270168,Variable1Value,Variable2Value
0.6284983,Variable1Value,Variable2Value
0.6299121,Variable1Value,Variable2Value
0.6312954,Variable1Value,Variable2Value
0.6329436,Variable1Value,Variable2Value
0.6349588,Variable1Value,Variable2Value
0.6364261,Variable1Value,Variable2Value
0.6378376,Variable1Value,Variable2Value
0.6391691,Variable1Value,Variable2Value
0.6408868,Variable1Value,Variable2Value
0.6429349,Variable1Value,Variable2Value
0.6444907,Variable1Value,Variable2Value
0.6459062,Variable1Value,Variable2Value
0.6472545,Variable1Value,Variable2Value
0.6488636,Variable1Value,Variable2Value
0.6510472,Variable1Value,Variable2Value
0.6525449,Variable1Value,Variable2Value
0.6541259,Variable1Value,Variable2Value
0.6556188,Variable1Value,Variable2Value
0.6579887,Variable1Value,Variable2Value
0.6599614,Variable1Value,Variable2Value
0.6615035,Variable1Value,Variable2Value
0.6630452,Variable1Value,Variable2Value
0.6644615,Variable1Value,Variable2Value
0.6665613,Variable1Value,Variable2Value
0.6680824,Variable1Value,Variable2Value
0.669512,Variable1Value,Variable2Value
0.6710382,Variable1Value,Variable2Value
0.6724231,Variable1Value,Variable2Value
0.6746998,Variable1Value,Variable2Value
0.6763135,Variable1Value,Variable2Value
0.6777605,Variable1Value,Variable2Value
0.679239,Variable1Value,Variable2Value
0.6805962,Variable1Value,Variable2Value
0.6821223,Variable1Value,Variable2Value
0.683692,Variable1Value,Variable2Value
0.6850681,Variable1Value,Variable2Value
0.6865302,Variable1Value,Variable2Value
0.6879697,Variable1Value,Variable2Value
0.6896788,Variable1Value,Variable2Value
0.6911125,Variable1Value,Variable2Value
0.6927292,Variable1Value,Variable2Value
0.6941366,Variable1Value,Variable2Value
0.6955976,Variable1Value,Variable2Value
0.6971319,Variable1Value,Variable2Value
0.6985886,Variable1Value,Variable2Value
0.7001786,Variable1Value,Variable2Value
0.7019877,Variable1Value,Variable2Value
0.7034739,Variable1Value,Variable2Value
0.705106,Variable1Value,Variable2Value
0.7067223,Variable1Value,Variable2Value
0.7081316,Variable1Value,Variable2Value
0.7095929,Variable1Value,Variable2Value
0.711091,Variable1Value,Variable2Value
0.7126868,Variable1Value,Variable2Value
0.7211092,Variable1Value,Variable2Value
0.7262024,Variable1Value,Variable2Value
0.7315565,Variable1Value,Variable2Value
0.7374658,Variable1Value,Variable2Value
0.7393328,Variable1Value,Variable2Value
0.7410158,Variable1Value,Variable2Value
0.742602,Variable1Value,Variable2Value
0.7441178,Variable1Value,Variable2Value
0.7454875,Variable1Value,Variable2Value
0.7470132,Variable1Value,Variable2Value
0.7485911,Variable1Value,Variable2Value
0.7500616,Variable1Value,Variable2Value
0.7521671,Variable1Value,Variable2Value
0.7541119,Variable1Value,Variable2Value
0.7559293,Variable1Value,Variable2Value
0.7576908,Variable1Value,Variable2Value
0.759494,Variable1Value,Variable2Value
0.7609245,Variable1Value,Variable2Value
0.7624168,Variable1Value,Variable2Value
0.7639765,Variable1Value,Variable2Value
0.7656128,Variable1Value,Variable2Value
0.7674028,Variable1Value,Variable2Value
0.7688485,Variable1Value,Variable2Value
0.7703083,Variable1Value,Variable2Value
0.7719148,Variable1Value,Variable2Value
0.7735183,Variable1Value,Variable2Value
0.7750826,Variable1Value,Variable2Value
0.7765168,Variable1Value,Variable2Value
0.7780121,Variable1Value,Variable2Value
0.7794002,Variable1Value,Variable2Value
0.7809039,Variable1Value,Variable2Value
0.7826188,Variable1Value,Variable2Value
0.7842047,Variable1Value,Variable2Value
0.7858688,Variable1Value,Variable2Value
0.7876835,Variable1Value,Variable2Value
0.7892908,Variable1Value,Variable2Value
0.7908088,Variable1Value,Variable2Value
0.792331,Variable1Value,Variable2Value
0.7938809,Variable1Value,Variable2Value
0.7952659,Variable1Value,Variable2Value
0.7967986,Variable1Value,Variable2Value
0.7987214,Variable1Value,Variable2Value
0.8001716,Variable1Value,Variable2Value
0.8016474,Variable1Value,Variable2Value
0.8030815,Variable1Value,Variable2Value
0.8046727,Variable1Value,Variable2Value
0.8062115,Variable1Value,Variable2Value
0.8076894,Variable1Value,Variable2Value
0.8092245,Variable1Value,Variable2Value
0.8108749,Variable1Value,Variable2Value
0.8126236,Variable1Value,Variable2Value
0.8145186,Variable1Value,Variable2Value
0.8162766,Variable1Value,Variable2Value
0.8183137,Variable1Value,Variable2Value
0.819936,Variable1Value,Variable2Value
0.8217351,Variable1Value,Variable2Value
0.8232148,Variable1Value,Variable2Value
0.8246337,Variable1Value,Variable2Value
0.8262947,Variable1Value,Variable2Value
0.8276728,Variable1Value,Variable2Value
0.8291985,Variable1Value,Variable2Value
0.8306903,Variable1Value,Variable2Value
0.8321571,Variable1Value,Variable2Value
0.8343769,Variable1Value,Variable2Value
0.8358251,Variable1Value,Variable2Value
0.8375183,Variable1Value,Variable2Value
0.8389502,Variable1Value,Variable2Value
0.8402892,Variable1Value,Variable2Value
0.8423377,Variable1Value,Variable2Value
0.8438557,Variable1Value,Variable2Value
0.8457152,Variable1Value,Variable2Value
0.8474371,Variable1Value,Variable2Value
0.8497458,Variable1Value,Variable2Value
0.8514612,Variable1Value,Variable2Value
0.8530374,Variable1Value,Variable2Value
0.8549014,Variable1Value,Variable2Value
0.8565704,Variable1Value,Variable2Value
0.8586145,Variable1Value,Variable2Value
0.860258,Variable1Value,Variable2Value
0.8622957,Variable1Value,Variable2Value
0.8641464,Variable1Value,Variable2Value
0.8667295,Variable1Value,Variable2Value
0.8684426,Variable1Value,Variable2Value
0.8700032,Variable1Value,Variable2Value
0.8715276,Variable1Value,Variable2Value
0.8737877,Variable1Value,Variable2Value
0.8756946,Variable1Value,Variable2Value
0.8773013,Variable1Value,Variable2Value
0.8787999,Variable1Value,Variable2Value
0.8804755,Variable1Value,Variable2Value
0.8826525,Variable1Value,Variable2Value
0.8847184,Variable1Value,Variable2Value
0.8862852,Variable1Value,Variable2Value
0.8878564,Variable1Value,Variable2Value
0.8898478,Variable1Value,Variable2Value
0.8918655,Variable1Value,Variable2Value
0.8937244,Variable1Value,Variable2Value
0.895265,Variable1Value,Variable2Value
0.8969003,Variable1Value,Variable2Value
0.8989827,Variable1Value,Variable2Value
0.9010988,Variable1Value,Variable2Value
0.902873,Variable1Value,Variable2Value
0.9044141,Variable1Value,Variable2Value
0.9064704,Variable1Value,Variable2Value
0.9080797,Variable1Value,Variable2Value
0.9097991,Variable1Value,Variable2Value
0.9115437,Variable1Value,Variable2Value
0.9131298,Variable1Value,Variable2Value
0.9153306,Variable1Value,Variable2Value
0.9171452,Variable1Value,Variable2Value
0.9189997,Variable1Value,Variable2Value
0.9206499,Variable1Value,Variable2Value
0.922891,Variable1Value,Variable2Value
0.9246261,Variable1Value,Variable2Value
0.9266273,Variable1Value,Variable2Value
0.9282843,Variable1Value,Variable2Value
0.9305614,Variable1Value,Variable2Value
0.9320881,Variable1Value,Variable2Value
0.9337999,Variable1Value,Variable2Value
0.9353437,Variable1Value,Variable2Value
0.9372679,Variable1Value,Variable2Value
0.9395151,Variable1Value,Variable2Value
0.9412013,Variable1Value,Variable2Value
0.9429317,Variable1Value,Variable2Value
0.9443908,Variable1Value,Variable2Value
0.946714,Variable1Value,Variable2Value
0.9486903,Variable1Value,Variable2Value
0.9504369,Variable1Value,Variable2Value
0.9521678,Variable1Value,Variable2Value
0.9544555,Variable1Value,Variable2Value
0.9559992,Variable1Value,Variable2Value
0.9580396,Variable1Value,Variable2Value
0.9597498,Variable1Value,Variable2Value
0.961715,Variable1Value,Variable2Value
0.963258,Variable1Value,Variable2Value
0.96482,Variable1Value,Variable2Value
0.9668,Variable1Value,Variable2Value
0.9687389,Variable1Value,Variable2Value
